,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal
52,52,2731998609.0,8,2,18.0,613,2.1,81.2,2,FirstHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
53,53,2731998641.0,9,2,21.0,613,2.1,81.2,2,FirstHalf,Pass,Unsuccessful,"['StandingSave', 'Longball', 'Angle', 'Zone', 'PassEndY', 'Offensive', 'Length', 'PassEndX', 'OppositeRelatedEvent']","[91, 118, 120, 128, 36, 37, 215, 218]",True,232278.0,3.1,81.6,,,,,,,,,,
55,55,2731999027.0,11,2,36.0,613,15.2,100.0,2,FirstHalf,Pass,Unsuccessful,"['Angle', 'Longball', 'Zone', 'PassEndY', 'ThrowIn', 'PassEndX', 'Length']","[91, 212, 36, 38, 216]",True,232278.0,40.2,93.8,,,,,,,,,,
82,82,2732000359.0,28,3,48.0,613,65.6,100.0,3,FirstHalf,Pass,Successful,"['ThrowIn', 'Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'Longball']","[91, 212, 35, 38, 216]",True,232278.0,38.8,89.1,,,,,,,,,,
224,224,2732009553.0,73,11,48.0,613,81.4,87.8,11,FirstHalf,Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,232278.0,94.6,96.3,,,,,,,,,,
226,226,2732009663.0,75,11,53.0,613,86.2,89.0,11,FirstHalf,Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,232278.0,83.5,97.7,,,,,,,,,,
229,229,2732009861.0,78,12,1.0,613,79.2,100.0,12,FirstHalf,Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'ThrowIn']","[91, 212, 35, 38, 216]",True,232278.0,62.6,96.9,,,,,,,,,,
241,241,2732010247.0,87,12,22.0,613,95.8,71.0,12,FirstHalf,Foul,Unsuccessful,"['StandingSave', 'Offensive', 'Foul', 'Zone', 'OppositeRelatedEvent']",[64],False,232278.0,,,,,,,,,,,,
247,247,2732010925.0,91,13,1.0,613,27.3,79.5,13,FirstHalf,Clearance,Successful,"['StandingSave', 'Length', 'Zone', 'PassEndX', 'Angle', 'PassEndY']","[91, 94, 95, 215]",True,232278.0,20.9,100.0,,,,,,,,,,
255,255,2732011699.0,93,13,39.0,613,28.4,97.7,13,FirstHalf,Pass,Successful,"['StandingSave', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,232278.0,25.6,84.9,,,,,,,,,,
304,304,2732013925.0,118,15,55.0,613,1.8,97.8,15,FirstHalf,Pass,Unsuccessful,"['PassEndX', 'Longball', 'Zone', 'Length', 'StandingSave', 'PassEndY', 'Angle']","[91, 118, 120, 128, 36, 37, 215, 218]",True,232278.0,22.8,100.0,,,,,,,,,,
414,414,2732021455.0,169,22,30.0,613,21.4,89.1,22,FirstHalf,Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,232278.0,29.6,86.0,,,,,,,,,,
439,439,2732023151.0,179,24,6.0,613,26.4,96.0,24,FirstHalf,Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Angle', 'Chipped', 'PassEndX', 'Zone', 'Length']","[91, 118, 120, 29, 124, 36, 38, 216, 218]",True,232278.0,41.0,85.8,,,,,,,,,,
454,454,2732023971.0,183,24,46.0,613,29.2,95.2,24,FirstHalf,Tackle,Successful,"['Defensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']","[91, 143]",True,232278.0,,,,,,,,,,,,
481,481,2732025545.0,192,26,11.0,613,67.9,92.6,26,FirstHalf,Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'Zone', 'Angle', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,70.4,82.7,,,,,,,,,,
543,543,2732029241.0,222,29,51.0,613,3.9,100.0,29,FirstHalf,Pass,Successful,"['Length', 'Zone', 'ThrowIn', 'PassEndY', 'PassEndX', 'Angle']","[91, 212, 36, 38, 215]",True,232278.0,8.5,96.3,,,,,,,,,,
550,550,2732029693.0,229,30,17.0,613,69.1,100.0,30,FirstHalf,Pass,Successful,"['PassEndX', 'Length', 'Longball', 'Zone', 'Angle', 'ThrowIn', 'PassEndY']","[91, 212, 36, 38, 217]",True,232278.0,87.9,83.1,,,,,,,,,,
558,558,2732029997.0,234,30,34.0,613,38.5,93.5,30,FirstHalf,Pass,Unsuccessful,"['PassEndX', 'Length', 'StandingSave', 'Zone', 'Angle', 'PassEndY']","[91, 118, 120, 29, 36, 38, 216, 218]",True,232278.0,46.6,86.9,,,,,,,,,,
568,568,2732030453.0,237,30,59.0,613,5.5,59.0,30,FirstHalf,Save,Successful,"['OppositeRelatedEvent', 'OutfielderBlock', 'StandingSave', 'Zone']","[91, 58]",True,232278.0,,,,,,,,,,,,
662,662,2732036497.0,269,37,10.0,613,15.7,7.4,37,FirstHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
663,663,2732036677.0,270,37,14.0,613,30.8,2.6,37,FirstHalf,Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Longball', 'PassEndX', 'StandingSave', 'Length']","[91, 119, 117, 127, 36, 37, 216, 218]",True,232278.0,65.0,18.2,,,,,,,,,,
673,673,2732037195.0,275,38,0.0,613,79.1,59.7,38,FirstHalf,Goal,Successful,"['OutOfBoxCentre', 'LowLeft', 'FromCorner', 'GoalMouthZ', 'IndividualPlay', 'Zone', 'StandingSave', 'LeftFoot', 'GoalMouthY']","[91, 24, 9, 10, 2, 5, 13, 18, 21, 26]",True,232278.0,,,,,,,3.2,53.0,True,,True,
742,742,2732042463.0,289,43,42.0,613,38.3,100.0,43,FirstHalf,Pass,Unsuccessful,"['Length', 'Longball', 'Zone', 'PassEndX', 'PassEndY', 'ThrowIn', 'Angle']","[91, 212, 36, 38, 217]",True,232278.0,86.5,75.2,,,,,,,,,,
758,758,2732043495.0,295,45,17.0,613,57.7,98.9,45,FirstHalf,Pass,Unsuccessful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'HeadPass']","[91, 120, 29, 139, 36, 38, 217, 218]",True,232278.0,68.1,97.1,,,,,,,,,,
767,767,2732043649.0,299,45,24.0,613,65.9,96.5,45,FirstHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
768,768,2732043679.0,300,45,25.0,613,65.9,96.5,45,FirstHalf,Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,232278.0,60.2,96.8,,,,,,,,,,
773,773,2732045755.0,328,45,29.0,613,64.5,96.6,45,FirstHalf,Pass,Successful,"['StandingSave', 'Zone', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,70.6,89.4,,,,,,,,,,
788,788,2732044085.0,309,46,3.0,613,56.5,97.8,46,FirstHalf,Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,232278.0,60.9,97.5,,,,,,,,,,
799,799,2732046467.0,330,46,29.0,613,87.4,58.6,46,FirstHalf,Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[197, 199]",False,232278.0,,,,,,,,,,,,
801,801,2732044463.0,319,46,29.0,613,86.1,53.4,46,FirstHalf,SavedShot,Successful,"['RelatedEventId', 'Zone', 'BoxCentre', 'LowLeft', 'Assisted', 'IntentionalAssist', 'RegularPlay', 'BlockedY', 'Head', 'GoalMouthY', 'GoalMouthZ', 'OppositeRelatedEvent', 'BlockedX', 'FirstTouch']","[91, 9, 10, 1, 3, 14]",True,232278.0,,,318.0,301869.0,98.4,49.1,13.9,52.9,True,,,
814,814,2732044841.0,324,46,59.0,613,0.5,82.4,46,FirstHalf,Clearance,Successful,"['PassEndY', 'Angle', 'StandingSave', 'Zone', 'Length', 'PassEndX']","[91, 94, 95, 216]",True,232278.0,43.2,96.8,,,,,,,,,,
839,839,2732057489.0,341,45,45.0,613,8.7,53.0,48,SecondHalf,Clearance,Successful,"['Angle', 'PassEndY', 'Length', 'PassEndX', 'Zone', 'Head']","[91, 94, 95, 57, 215]",True,232278.0,26.0,39.7,,,,,,,,,,
893,893,2732059719.0,358,48,46.0,613,42.9,92.2,51,SecondHalf,Aerial,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[197, 200]",False,232278.0,,,,,,,,,,,,
895,895,2732059737.0,359,48,46.0,613,44.4,94.4,51,SecondHalf,Pass,Unsuccessful,"['Angle', 'Length', 'HeadPass', 'PassEndY', 'Zone', 'PassEndX']","[91, 120, 29, 139, 36, 37, 216, 218]",True,232278.0,65.5,96.6,,,,,,,,,,
903,903,2732059919.0,360,49,3.0,613,72.8,96.4,52,SecondHalf,Foul,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Offensive', 'Zone', 'Foul']",[64],False,232278.0,,,,,,,,,,,,
920,920,2732060847.0,369,50,16.0,613,34.2,82.8,53,SecondHalf,Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,232278.0,38.6,75.5,,,,,,,,,,
929,929,2732061107.0,373,50,38.0,613,13.4,63.4,53,SecondHalf,Challenge,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']",[55],False,232278.0,,,,,,,,,,,,
934,934,2732061231.0,375,50,44.0,613,12.0,60.7,53,SecondHalf,Save,Successful,"['Zone', 'StandingSave', 'OutfielderBlock', 'Head', 'OppositeRelatedEvent']","[91, 58]",True,232278.0,,,,,,,,,,,,
935,935,2732061243.0,376,50,46.0,613,5.6,61.4,53,SecondHalf,CornerAwarded,Unsuccessful,"['Zone', 'MissLeft', 'OppositeRelatedEvent']",[122],False,232278.0,,,,,,,,,,,,
944,944,2732062247.0,382,52,5.0,613,76.3,95.9,55,SecondHalf,Pass,Successful,"['StandingSave', 'Zone', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,232278.0,70.3,90.2,,,,,,,,,,
998,998,2732065121.0,406,56,39.0,613,51.3,97.8,59,SecondHalf,Pass,Successful,"['Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,232278.0,25.9,83.1,,,,,,,,,,
1032,1032,2732065747.0,422,57,47.0,613,30.3,84.0,60,SecondHalf,Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,232278.0,33.6,67.5,,,,,,,,,,
